month,year,envVar,Location
1,0,-0.276224553585052,52fd31d7
1,0,-1.12685525417328,3421b03c
1,0,-0.889423668384552,ff529e8f
1,0,-0.960383772850037,c304b52e
1,0,-0.902493238449097,ca72fd20
1,0,-0.488726079463959,6028e7b7
1,0,-0.547472715377808,fdb23048
1,0,-0.809480249881744,0f7c71d8
1,0,-0.642049789428711,34fe95a5
1,0,0.803224921226501,11184bca
1,0,0.263992190361023,aadc708f
1,0,0.272273033857346,45e05b54
1,0,-0.544152915477753,056f421c
1,0,-0.838765859603882,525214eb
1,0,-0.514488756656647,a33682bf
1,0,-1.04735147953033,be428bac
1,0,-0.462942332029343,8f3fe004
1,0,0.241360783576965,88d245ba
1,0,0.422351896762848,72cd92d3
1,0,-0.873407900333405,a06de818
1,0,0.123276010155678,d531f652
1,0,-0.339467465877533,7778c917
1,0,-0.592967808246613,205e19b2
1,0,-0.917640626430511,9a312f28
1,0,-0.206487819552422,0eb837a8
1,0,0.630088627338409,0f9ed4e2
1,0,0.54065877199173,c2be3453
1,0,-0.727627098560333,e24cd8b8
1,0,-0.238510236144066,550e54c5
1,0,-0.0776500850915909,156ec693
1,0,-0.424315243959427,cf35c6c5
1,0,-0.359803736209869,14298a4c
1,0,-0.0129560530185699,5e125303
1,0,-0.664064407348633,21255d80
1,0,-1.1418799161911,55a7fd48
1,0,-0.343486577272415,a4728441
1,0,-0.549067258834839,acd4504e
1,0,-0.857736706733704,8ccec174
1,0,-0.384298920631409,a4a399e0
1,0,-0.186373025178909,d4270efc
1,0,-0.182134389877319,957796e0
1,0,-0.604850292205811,78ce3bab
1,0,-0.679237961769104,60760148
1,0,-0.984026193618774,5eac0b24
1,0,-0.526122212409973,5cafec9f
1,0,-0.638108551502228,ad8153f8
1,0,-0.22697052359581,78eaa11e
1,0,0.023273017257452,1f9012d1
1,0,-0.304513216018677,8d66d502
1,0,-0.619253575801849,1a1685ad
1,0,-0.498963207006454,afbc2e22
1,0,-1.14540636539459,2e23216d
1,0,-0.813660562038422,eda1ed99
1,0,0.236946061253548,f3fb7a0c
1,0,-0.365420669317245,feb5d49b
1,0,-0.52492880821228,9bd1560c
1,0,-1.0424770116806,6a97c123
1,0,-0.652494668960571,47235d1f
1,0,-0.412342399358749,14a06ce1
1,0,-0.0823493674397469,89c9d5ba
1,0,-0.684477508068085,802bcd6f
1,0,-0.366116970777512,b5f1a762
1,0,-0.0224102847278118,f89b93ae
1,0,-0.0416755117475986,352ce11a
1,0,0.123451329767704,e27e8033
